title,url,disc_price,original_price
Authentic Lost Vape Centaurus DNA 250C 200W - Pearl Fish Tactile Carbon Fiber,https://www.cigabuy.com/authentic-lost-vape-centaurus-dna-250c-200w-pearl-fish-tactile-carbon-fiber-p-18449.html,$178.49 ,$125.25
2 x Authentic Uwell Caliburn G Pod Cartridges,https://www.cigabuy.com/2-x-authentic-uwell-caliburn-g-pod-cartridges-p-19944.html,$5.16 ,$4.13
Authentic OXVA Origin X 60W 18650 Pod Kit - Black Red Trim,https://www.cigabuy.com/authentic-oxva-origin-x-60w-18650-pod-kit-black-red-trim-p-19696.html,$47.55 ,$32.04
Authentic Lost Vape Centaurus DNA 250C 200W Box Mod - SS Crocodile Stabwood,https://www.cigabuy.com/authentic-lost-vape-centaurus-dna-250c-200w-box-mod-ss-crocodile-stabwood-p-18443.html,$193.11 ,$143.02
Authentic Vaporesso Luxe Nano 2500mAh 80W Starter Kit - Silver,https://www.cigabuy.com/authentic-vaporesso-luxe-nano-2500mah-80w-starter-kit-silver-p-19337.html,$62.00 ,$28.66
K2 Powerful Bass USB Notebook Stereo Speakers Subwoofer Full Frequency Speaker,https://www.cigabuy.com/k2-powerful-bass-usb-notebook-stereo-speakers-subwoofer-full-frequency-speaker-p-19451.html,$45.97 ,$6.61
Authentic Lost Vape Centaurus DNA 250C 200W Mod - Gunmetal/Peal Fish Stabwood,https://www.cigabuy.com/authentic-lost-vape-centaurus-dna-250c-200w-mod-gunmetalpeal-fish-stabwood-p-18442.html,$193.11 ,$143.02
Authentic Vaporesso Nexus 650mAh AIO Starter Kit - Orange,https://www.cigabuy.com/authentic-vaporesso-nexus-650mah-aio-starter-kit-orange-p-14733.html,$19.24 ,$5.41
Authentic EHPRO Armor COD Semi-Mech Mod 21700 - Silver,https://www.cigabuy.com/authentic-ehpro-armor-cod-semi-mech-mod-21700-silver-p-18702.html,$28.33 ,$19.80
Authentic Vaporesso Nexus 650mAh AIO Starter Kit - Green,https://www.cigabuy.com/authentic-vaporesso-nexus-650mah-aio-starter-kit-green-p-14387.html,$18.69 ,$5.41
Authentic VapX Geyser 100W Pod Kit Without Battery - Charcoal Black,https://www.cigabuy.com/authentic-vapx-geyser-100w-pod-kit-without-battery-charcoal-black-p-19690.html,$58.81 ,$48.58
Authentic Steam Crave Titan PWM V1.5 Mod - Gunmetal,https://www.cigabuy.com/authentic-steam-crave-titan-pwm-v15-mod-gunmetal-p-19520.html,$66.14 ,$51.68
Authentic Uwell Crown Pod 1250mAh Pod System Kit - Black,https://www.cigabuy.com/authentic-uwell-crown-pod-1250mah-pod-system-kit-black-p-16656.html,$36.15 ,$19.93
Authentic Dovpo Odin DNA250C 200W Box Mod - Blue Steel,https://www.cigabuy.com/authentic-dovpo-odin-dna250c-200w-box-mod-blue-steel-p-16509.html,$187.68 ,$140.72
3 x Authentic Wotofo H12 CLAPTON MESH COIL 0.20ohm,https://www.cigabuy.com/3-x-authentic-wotofo-h12-clapton-mesh-coil-020ohm-p-19864.html,$15.50 ,$6.72
4 × Authentic Uwell Valyrian Pod Coil MTL 1.0ohm,https://www.cigabuy.com/4-×-authentic-uwell-valyrian-pod-coil-mtl-10ohm-p-19514.html,$14.42 ,$10.34
